time_s,model,fit_status,boundary_residual_rmse,volume_full_m3,volume_relative_error,volume_proxy_m3,radial_distance_rmse_m,radial_distance_mean_m,chamfer_distance_m,normalized_chamfer_distance,hausdorff_distance_m,case_id,case_index,power_W,scan_speed_mm_s,particle_rate,powder_feed_g_min,mean_boundary_residual_rmse,mean_volume_relative_error,std_volume_relative_error,mean_radial_distance_rmse_m,mean_chamfer_distance_m,mean_normalized_chamfer_distance,mean_hausdorff_distance_m,successful_fits
0.4,ellipsoid,ok,0.27584836274978847,3.398783335400245e-09,0.5837468155579677,2.1460395702218504e-09,0.00017377751009719312,0.00010079718437459066,0.00019121617835438293,0.08418057598696145,0.0008651532722403154,A1-750-8-60000,1.0,750.0,8.0,60000.0,12.0,,,,,,,,
0.4,superellipsoid,ok,0.15833865919170304,3.29401289473299e-09,0.5349264479743334,2.1460395702218504e-09,0.0001590287677541539,0.000100771572531936,0.00031931640626822066,0.14057512932785413,0.001604678134792151,A1-750-8-60000,1.0,750.0,8.0,60000.0,12.0,,,,,,,,
0.5,ellipsoid,ok,0.289284315865816,1.2989200765807585e-08,5.764446059442734,1.920216474736389e-09,0.00045616729997182597,0.00025480979052563464,0.0015831213092758157,0.5931514834304293,0.00736335317318403,A1-750-8-60000,1.0,750.0,8.0,60000.0,12.0,,,,,,,,
0.5,superellipsoid,not_converged:The maximum number of function evaluations is exceeded.,0.2569613920448091,4.1831149289433205e-09,1.178460076756495,1.920216474736389e-09,0.00043994829333802776,0.00024011603660333564,0.00022982358300093603,0.08610849868899814,0.0011682350564458462,A1-750-8-60000,1.0,750.0,8.0,60000.0,12.0,,,,,,,,
0.6,ellipsoid,ok,0.23312751574047996,1.2302708920983657e-08,5.222004376212128,1.977290303430063e-09,0.000300545582392128,0.00015934981120569242,0.0012364680383968928,0.5955151174670773,0.005747414277128131,A1-750-8-60000,1.0,750.0,8.0,60000.0,12.0,,,,,,,,
0.6,superellipsoid,not_converged:The maximum number of function evaluations is exceeded.,0.2130492551408689,4.236197799819576e-09,1.1424258200583501,1.977290303430063e-09,0.000303049929762284,0.00016165999259385756,0.00020309392963556184,0.09781531071404027,0.0011313958397774348,A1-750-8-60000,1.0,750.0,8.0,60000.0,12.0,,,,,,,,
0.7,ellipsoid,ok,0.26098864968696667,3.9979076727417965e-09,1.1267603980847034,1.879811038583468e-09,0.0003448807142594192,0.0001840533382657732,0.00019675361322760311,0.09122055414140806,0.0010541756792190994,A1-750-8-60000,1.0,750.0,8.0,60000.0,12.0,,,,,,,,
0.7,superellipsoid,not_converged:The maximum number of function evaluations is exceeded.,0.2403574814191527,1.1963725435155339e-08,5.364323429109453,1.879811038583468e-09,0.00033866869678473807,0.00018272882820164044,0.0012743366366360978,0.5908185992100224,0.005940748211788982,A1-750-8-60000,1.0,750.0,8.0,60000.0,12.0,,,,,,,,
0.8,ellipsoid,ok,0.25874375761675855,4.20101580742681e-09,1.0991644544851076,2.0012799847343325e-09,0.00036365842879515655,0.00017812208573082968,0.0001963197017368509,0.09237270114188627,0.0010473530271429947,A1-750-8-60000,1.0,750.0,8.0,60000.0,12.0,,,,,,,,
0.8,superellipsoid,not_converged:The maximum number of function evaluations is exceeded.,0.23948947303943233,4.297499749766943e-09,1.1473755709086506,2.0012799847343325e-09,0.00036837017714438545,0.00017959601090750116,0.00020485056322933323,0.09638665752097737,0.0010766381520552193,A1-750-8-60000,1.0,750.0,8.0,60000.0,12.0,,,,,,,,
