input_role,validation_cohort,source_root,case_id,case_index,power_W,scan_speed_mm_s,particle_rate,powder_feed_g_min,time_s,csv_path,row_count,column_schema,sha256,status
model_construction,,raw data,A3-950-8-60000,3,950.0,8.0,60000.0,12.0,0.05,raw data\A3-950-8-60000\A3-950-8-60000-0.05s.csv,312,"Points:0,Points:1,Points:2,Fraction Of Fluid,Heat Absorption Rate,Heat Flux Spatial Distribution,Melt Region,Pressure,Temperature,Temperature Gradient At Tgrdout,X-velocity,Y-velocity,Z-velocity",905dd46f2ae841f7601da1dcd8539328336ecabdfb31c37fd16f7c1748b9b3cf,ok
model_construction,,raw data,A3-950-8-60000,3,950.0,8.0,60000.0,12.0,0.1,raw data\A3-950-8-60000\A3-950-8-60000-0.1s.csv,3024,"Points:0,Points:1,Points:2,Fraction Of Fluid,Heat Absorption Rate,Heat Flux Spatial Distribution,Melt Region,Pressure,Temperature,Temperature Gradient At Tgrdout,X-velocity,Y-velocity,Z-velocity",de3f71c54bfb56d363bac35740e36c022876e3a4a171cc5488a552d12937c997,ok
model_construction,,raw data,A3-950-8-60000,3,950.0,8.0,60000.0,12.0,0.15,raw data\A3-950-8-60000\A3-950-8-60000-0.15s.csv,4464,"Points:0,Points:1,Points:2,Fraction Of Fluid,Heat Absorption Rate,Heat Flux Spatial Distribution,Melt Region,Pressure,Temperature,Temperature Gradient At Tgrdout,X-velocity,Y-velocity,Z-velocity",c7b166c4b18384c5f3f1093111b20f93be83c2bdfa029a482f844bf80f5cade3,ok
model_construction,,raw data,A3-950-8-60000,3,950.0,8.0,60000.0,12.0,0.2,raw data\A3-950-8-60000\A3-950-8-60000-0.2s.csv,5208,"Points:0,Points:1,Points:2,Fraction Of Fluid,Heat Absorption Rate,Heat Flux Spatial Distribution,Melt Region,Pressure,Temperature,Temperature Gradient At Tgrdout,X-velocity,Y-velocity,Z-velocity",b0919d04ddc543c3dfe81a9fa1165359d158c95e8d303e059d46c256fe9536bb,ok
model_construction,,raw data,A3-950-8-60000,3,950.0,8.0,60000.0,12.0,0.3,raw data\A3-950-8-60000\A3-950-8-60000-0.3s.csv,6348,"Points:0,Points:1,Points:2,Fraction Of Fluid,Heat Absorption Rate,Heat Flux Spatial Distribution,Melt Region,Pressure,Temperature,Temperature Gradient At Tgrdout,X-velocity,Y-velocity,Z-velocity",852f205ace0bc44355fcf0653a0b4b21531748a1aeb69b0ce7dd9fbd719be952,ok
model_construction,,raw data,A3-950-8-60000,3,950.0,8.0,60000.0,12.0,0.4,raw data\A3-950-8-60000\A3-950-8-60000-0.4s.csv,6576,"Points:0,Points:1,Points:2,Fraction Of Fluid,Heat Absorption Rate,Heat Flux Spatial Distribution,Melt Region,Pressure,Temperature,Temperature Gradient At Tgrdout,X-velocity,Y-velocity,Z-velocity",17449526dbb5438a4f7dee31f4f15c3d5ec98a1f748a3b02480964dbb4eb11e9,ok
model_construction,,raw data,A3-950-8-60000,3,950.0,8.0,60000.0,12.0,0.5,raw data\A3-950-8-60000\A3-950-8-60000-0.5s.csv,6552,"Points:0,Points:1,Points:2,Fraction Of Fluid,Heat Absorption Rate,Heat Flux Spatial Distribution,Melt Region,Pressure,Temperature,Temperature Gradient At Tgrdout,X-velocity,Y-velocity,Z-velocity",177f774fcf81598937f60aac637b25676bd1b52735e87948e60590388f2b670c,ok
model_construction,,raw data,A3-950-8-60000,3,950.0,8.0,60000.0,12.0,0.6,raw data\A3-950-8-60000\A3-950-8-60000-0.6s.csv,6576,"Points:0,Points:1,Points:2,Fraction Of Fluid,Heat Absorption Rate,Heat Flux Spatial Distribution,Melt Region,Pressure,Temperature,Temperature Gradient At Tgrdout,X-velocity,Y-velocity,Z-velocity",0e50f61383c017d448a01d63930c2f944376acd2b1574e7791ca9fc4ce0b048a,ok
model_construction,,raw data,A3-950-8-60000,3,950.0,8.0,60000.0,12.0,0.7,raw data\A3-950-8-60000\A3-950-8-60000-0.7s.csv,6540,"Points:0,Points:1,Points:2,Fraction Of Fluid,Heat Absorption Rate,Heat Flux Spatial Distribution,Melt Region,Pressure,Temperature,Temperature Gradient At Tgrdout,X-velocity,Y-velocity,Z-velocity",954d6d848b3865af99cb4fe8c08ea88a51883d3d4b7f84a0c0924fcf95ee7b1c,ok
model_construction,,raw data,A3-950-8-60000,3,950.0,8.0,60000.0,12.0,0.8,raw data\A3-950-8-60000\A3-950-8-60000-0.8s.csv,6624,"Points:0,Points:1,Points:2,Fraction Of Fluid,Heat Absorption Rate,Heat Flux Spatial Distribution,Melt Region,Pressure,Temperature,Temperature Gradient At Tgrdout,X-velocity,Y-velocity,Z-velocity",f131282a4e8c58fece7b70f015c6eb4c25d7640078ab3c7edf19c8a9dd52ac6b,ok
