state,label,fit_status,train_points,validation_points,q0,q_inf,k_per_s,train_rmse,train_relative_rmse,validation_rmse,validation_relative_rmse,case_id,case_index,power_W,scan_speed_mm_s,scan_speed_m_s,particle_rate,powder_feed_g_min
height_span_m,H,ok,9,3,0.00101928,0.0013679823514038624,36.81935837544401,0.00010003725647253587,0.07568287674210247,4.8460958775648596e-05,0.035672052372678426,A4-750-6-60000,4,750.0,6.0,0.006,60000.0,12.0
Tmax_K,Tmax,ok,9,3,4039.2,2559.0646753516944,6.164850311578421,335.9725964641652,0.10762066913118713,197.53629627224186,0.07779571891259936,A4-750-6-60000,4,750.0,6.0,0.006,60000.0,12.0
Gmean_K_per_m,Gmean,ok,9,3,2915686.7864693445,955550.4329576613,9.839191842524588,110060.73245147432,0.07474154594221431,147274.71225576205,0.14675467594092928,A4-750-6-60000,4,750.0,6.0,0.006,60000.0,12.0
Umax_m_per_s,Umax,ok,9,3,0.5830188234525537,0.5211498341077255,99.9999999999696,0.07192973621240245,0.13621803071070715,0.0738166837817397,0.13121352161510685,A4-750-6-60000,4,750.0,6.0,0.006,60000.0,12.0
front_length_m,L_f,ok,9,3,0.0005851999999999999,0.0009121988636508107,18.64028773859291,7.544456919949974e-05,0.08843463438336775,0.0007076007734445473,1.0759806986333034,A5-750-10-60000,5,750.0,10.0,0.01,60000.0,12.0
rear_length_m,L_r,ok,9,3,0.0007758999999999999,0.0013737614238449687,7.6842437151446745,1.222723403828556e-05,0.010254943964286611,8.982377064045691e-05,0.06317905653225421,A5-750-10-60000,5,750.0,10.0,0.01,60000.0,12.0
full_width_m,W,ok,9,3,0.00131716,0.001655972659455533,11.680401825534897,4.795431477207365e-05,0.03037967359649899,0.0002913434742021584,0.20009579140544664,A5-750-10-60000,5,750.0,10.0,0.01,60000.0,12.0
height_span_m,H,ok,9,3,0.00091814,0.001468762640588171,14.537279479546186,2.1715294690293396e-05,0.016034778445388923,0.0004215162740471426,0.35942960259377005,A5-750-10-60000,5,750.0,10.0,0.01,60000.0,12.0
Tmax_K,Tmax,ok,9,3,3538.1,3123.539711844071,7.423348383748418,295.1673568216073,0.08983119995788158,662.3795648958526,0.2411839514859096,A5-750-10-60000,5,750.0,10.0,0.01,60000.0,12.0
Gmean_K_per_m,Gmean,ok,9,3,2519502.89010989,1240467.9868836603,11.715445716927183,57305.03532729294,0.03709704991819959,336954.79676320206,0.3179238992255196,A5-750-10-60000,5,750.0,10.0,0.01,60000.0,12.0
Umax_m_per_s,Umax,ok,9,3,0.43590903971356226,0.5615835627947612,59.04020274813587,0.04942948987759023,0.09039175077082857,0.1819938994692667,0.3568193715774661,A5-750-10-60000,5,750.0,10.0,0.01,60000.0,12.0
front_length_m,L_f,ok,9,3,0.00065,0.0008467807597632986,13.315850244879199,3.699712498038134e-05,0.0459858199126384,0.00014082470537775364,0.15397970482678902,A6-750-8-40000,6,750.0,8.0,0.008,40000.0,8.0
rear_length_m,L_r,ok,9,3,0.00069165,0.0010677558718317512,8.592203791798637,1.6810694574087857e-05,0.01746394306668791,4.942865105603361e-05,0.04477503266142304,A6-750-8-40000,6,750.0,8.0,0.008,40000.0,8.0
