model,state,label,train_rmse,train_relative_rmse,validation_rmse,validation_relative_rmse,all_eigenvalues_stable,case_id,case_index,power_W,scan_speed_mm_s,particle_rate,powder_feed_g_min,coupled_relative_improvement_vs_diagonal
diagonal_attractor,full_width_m,W,5.93701633874717e-05,0.041104001729854636,0.00030251367278970955,0.23000527616343924,True,A9-550-10-60000,9,550.0,10.0,60000.0,12.0,0.009453209988004255
diagonal_attractor,height_span_m,H,3.3517490695832916e-05,0.03258589613197112,0.00038108850387751244,0.44264920420343096,True,A9-550-10-60000,9,550.0,10.0,60000.0,12.0,0.019745537092301896
diagonal_attractor,Tmax_K,Tmax,105.01724345688608,0.034836725189339675,533.3051734368265,0.21744482322303946,True,A9-550-10-60000,9,550.0,10.0,60000.0,12.0,0.09098248911443937
diagonal_attractor,Gmean_K_per_m,Gmean,83662.90566731096,0.057084177160662046,257021.02825940232,0.2635916001917729,True,A9-550-10-60000,9,550.0,10.0,60000.0,12.0,-0.034506436443766116
diagonal_attractor,Umax_m_per_s,Umax,0.08521656858536943,0.13065231255020177,0.27964994011635685,0.5775187607811534,True,A9-550-10-60000,9,550.0,10.0,60000.0,12.0,-0.004767880007263696
diagonal_attractor,front_length_m,L_f,8.522218531361434e-05,0.11529737834731268,0.00014837412167948056,0.21544086202915733,True,A10-550-8-40000,10,550.0,8.0,40000.0,8.0,0.13519576621758608
diagonal_attractor,rear_length_m,L_r,1.6892064592049313e-05,0.019611874167096303,3.06056237282656e-05,0.03168721396493538,True,A10-550-8-40000,10,550.0,8.0,40000.0,8.0,-0.7067661343308782
diagonal_attractor,full_width_m,W,1.5130385924136114e-05,0.01136051321790614,3.9625796385811586e-05,0.028232215346007734,True,A10-550-8-40000,10,550.0,8.0,40000.0,8.0,-0.09976577222682577
diagonal_attractor,height_span_m,H,3.138059595657956e-05,0.03384102659579734,2.6507714015360626e-05,0.026510188299601924,True,A10-550-8-40000,10,550.0,8.0,40000.0,8.0,-0.0398777705904054
diagonal_attractor,Tmax_K,Tmax,70.91913474545709,0.025879852438647266,101.53092903522837,0.03943663409623558,True,A10-550-8-40000,10,550.0,8.0,40000.0,8.0,-0.059210099186375785
diagonal_attractor,Gmean_K_per_m,Gmean,66405.28062538378,0.04364719019129754,66285.58191559644,0.05386390881644424,True,A10-550-8-40000,10,550.0,8.0,40000.0,8.0,-0.6676757656871922
diagonal_attractor,Umax_m_per_s,Umax,0.06697440065802285,0.1472743824977835,0.04868403578723139,0.11591243455426908,True,A10-550-8-40000,10,550.0,8.0,40000.0,8.0,-0.012825387509282303
diagonal_attractor,front_length_m,L_f,0.00012816964446545434,0.18838288445123455,0.00012339501793600302,0.15757249129868872,True,A11-550-8-70000,11,550.0,8.0,70000.0,14.0,-0.24000799336069378
diagonal_attractor,rear_length_m,L_r,3.0205615787185396e-05,0.026867108842425592,0.00011251185199117476,0.0976213431205241,True,A11-550-8-70000,11,550.0,8.0,70000.0,14.0,0.2775283573520163
diagonal_attractor,full_width_m,W,4.969771356869087e-05,0.033501667454491506,5.857812397516371e-05,0.03939278648342805,True,A11-550-8-70000,11,550.0,8.0,70000.0,14.0,0.0151975401912899
diagonal_attractor,height_span_m,H,3.264606828335228e-05,0.028311891969022132,3.7716253730663246e-05,0.03143798361038972,True,A11-550-8-70000,11,550.0,8.0,70000.0,14.0,-0.004618059354708429
diagonal_attractor,Tmax_K,Tmax,108.17727489370839,0.0403641527693841,146.49124370825848,0.05787651365345442,True,A11-550-8-70000,11,550.0,8.0,70000.0,14.0,0.03316855592751439
diagonal_attractor,Gmean_K_per_m,Gmean,89904.80772344436,0.07005284110757767,65315.07855664032,0.0703428210239503,True,A11-550-8-70000,11,550.0,8.0,70000.0,14.0,0.18682668741255415
diagonal_attractor,Umax_m_per_s,Umax,0.14819770017905262,0.2439639622472038,0.6760416594156481,0.6066537776152071,True,A11-550-8-70000,11,550.0,8.0,70000.0,14.0,-0.014060593190788749
diagonal_attractor,front_length_m,L_f,0.00013399260374128964,0.1652309913819755,6.594319203019432e-05,0.0704897830360175,True,A12-950-6-60000,12,950.0,6.0,60000.0,12.0,-0.05218454866682113
diagonal_attractor,rear_length_m,L_r,5.5065578574915214e-05,0.055279859279218586,1.4402628042408688e-05,0.011285557155938477,True,A12-950-6-60000,12,950.0,6.0,60000.0,12.0,-7.205280995229946
diagonal_attractor,full_width_m,W,2.3699508968645815e-05,0.0155730899547336,1.1969600362411183e-05,0.006848929633001375,True,A12-950-6-60000,12,950.0,6.0,60000.0,12.0,-2.15203120712415
diagonal_attractor,height_span_m,H,8.742504884109295e-05,0.06722433357046545,0.00015421044514926326,0.08762670737347734,True,A12-950-6-60000,12,950.0,6.0,60000.0,12.0,-0.16540292709114487
diagonal_attractor,Tmax_K,Tmax,580.8875642636244,0.19078786218474572,235.8970331606386,0.07617854869071959,True,A12-950-6-60000,12,950.0,6.0,60000.0,12.0,-0.042282874880022095
diagonal_attractor,Gmean_K_per_m,Gmean,317619.54242000915,0.16210203577789972,101580.90977556804,0.08622529867150819,True,A12-950-6-60000,12,950.0,6.0,60000.0,12.0,-0.15259681052279622
diagonal_attractor,Umax_m_per_s,Umax,0.1137795501778421,0.2121628140923859,0.12528059839594882,0.24159493120426595,True,A12-950-6-60000,12,950.0,6.0,60000.0,12.0,0.16373094506504005
diagonal_attractor,front_length_m,L_f,3.559780804768218e-05,0.04285335764548028,0.0007164086498623315,1.0441752657955572,True,A13-950-10-60000,13,950.0,10.0,60000.0,12.0,0.006764615874575775
diagonal_attractor,rear_length_m,L_r,3.811157895232139e-05,0.03127573531231471,4.124402940276061e-05,0.026786475625277494,True,A13-950-10-60000,13,950.0,10.0,60000.0,12.0,-2.6297396585525643
diagonal_attractor,full_width_m,W,2.7399927420951948e-05,0.018477231344283397,0.00018947108837409152,0.12093899257920737,True,A13-950-10-60000,13,950.0,10.0,60000.0,12.0,0.0014829734679788023
diagonal_attractor,height_span_m,H,3.987590191390802e-05,0.02823422062176678,0.0003829263068187357,0.2696107190195938,True,A13-950-10-60000,13,950.0,10.0,60000.0,12.0,0.0555242389520577
diagonal_attractor,Tmax_K,Tmax,173.64979441307912,0.04925505597965666,768.3832304466226,0.2658581518395345,True,A13-950-10-60000,13,950.0,10.0,60000.0,12.0,-0.027828902969168214
diagonal_attractor,Gmean_K_per_m,Gmean,133910.87883416424,0.06486795401525304,463149.95144540153,0.4047034582920528,True,A13-950-10-60000,13,950.0,10.0,60000.0,12.0,-0.0010521592233065564
diagonal_attractor,Umax_m_per_s,Umax,0.20017833224792003,0.3180097331550164,0.3527412482866742,0.7406046293303545,True,A13-950-10-60000,13,950.0,10.0,60000.0,12.0,0.17881412179454137
diagonal_attractor,front_length_m,L_f,0.00010072128348460814,0.11615387441957416,4.0827589500841134e-05,0.043487579798517126,True,A14-950-8-40000,14,950.0,8.0,40000.0,8.0,0.11281045984850227
diagonal_attractor,rear_length_m,L_r,2.9344671567135204e-05,0.02916647091130511,8.954438138232452e-05,0.07471578799214927,True,A14-950-8-40000,14,950.0,8.0,40000.0,8.0,-0.407352650752703
diagonal_attractor,full_width_m,W,2.977036220030461e-05,0.02005782733116097,1.6337356857792837e-05,0.010643182998853104,True,A14-950-8-40000,14,950.0,8.0,40000.0,8.0,-0.4588490477129815
diagonal_attractor,height_span_m,H,6.989426489758575e-05,0.05184470401162021,3.052266335256057e-05,0.01978248725521021,True,A14-950-8-40000,14,950.0,8.0,40000.0,8.0,-1.8595609083827356
diagonal_attractor,Tmax_K,Tmax,119.34820614989182,0.03443531376949252,737.0167234069927,0.199766011656907,True,A14-950-8-40000,14,950.0,8.0,40000.0,8.0,0.022595594728248024
diagonal_attractor,Gmean_K_per_m,Gmean,38681.56862255035,0.021576172582681775,105471.87702301957,0.07150561167106942,True,A14-950-8-40000,14,950.0,8.0,40000.0,8.0,-0.20670598906563906
diagonal_attractor,Umax_m_per_s,Umax,0.0737870684576163,0.12789566946265,0.17891044176966292,0.2841837718713532,True,A14-950-8-40000,14,950.0,8.0,40000.0,8.0,0.5559704129205871
