case_id,case_index,analysis_role,validation_cohort,source_root,time_points,train_fraction,train_points,validation_points,q_inf_policy,quasi_steady_start_s,q_inf_window_start_s,q_inf_window_end_s,q_inf_points,q_inf_fallback_to_all_training,q_inf_uses_validation_points,time_step_min_s,time_step_max_s,nonuniform_time_spacing,state,label,q_inf_estimate,q0,q_validation_mean
A5-750-10-60000,5,model_construction,,,12,0.7,9,3,training points with t >= quasi_steady_start_s; fallback to all training points if fewer than three,0.2,0.2,0.7,6,False,False,0.04999999999999999,0.10000000000000009,True,full_width_m,W,0.00163886,0.00131716,0.00145602
A5-750-10-60000,5,model_construction,,,12,0.7,9,3,training points with t >= quasi_steady_start_s; fallback to all training points if fewer than three,0.2,0.2,0.7,6,False,False,0.04999999999999999,0.10000000000000009,True,height_span_m,H,0.0014557549999999998,0.00091814,0.0011727366666666667
A5-750-10-60000,5,model_construction,,,12,0.7,9,3,training points with t >= quasi_steady_start_s; fallback to all training points if fewer than three,0.2,0.2,0.7,6,False,False,0.04999999999999999,0.10000000000000009,True,Tmax_K,Tmax,3105.8333333333335,3538.1,2746.366666666667
A5-750-10-60000,5,model_construction,,,12,0.7,9,3,training points with t >= quasi_steady_start_s; fallback to all training points if fewer than three,0.2,0.2,0.7,6,False,False,0.04999999999999999,0.10000000000000009,True,Gmean_K_per_m,Gmean,1291902.2322175943,2519502.89010989,1059859.9148539722
A5-750-10-60000,5,model_construction,,,12,0.7,9,3,training points with t >= quasi_steady_start_s; fallback to all training points if fewer than three,0.2,0.2,0.7,6,False,False,0.04999999999999999,0.10000000000000009,True,Umax_m_per_s,Umax,0.5535366421088924,0.43590903971356226,0.5100448965668207
A6-750-8-40000,6,model_construction,,,12,0.7,9,3,training points with t >= quasi_steady_start_s; fallback to all training points if fewer than three,0.2,0.2,0.7,6,False,False,0.04999999999999999,0.10000000000000009,True,front_length_m,L_f,0.0008387166666666666,0.00065,0.0009145666666666663
A6-750-8-40000,6,model_construction,,,12,0.7,9,3,training points with t >= quasi_steady_start_s; fallback to all training points if fewer than three,0.2,0.2,0.7,6,False,False,0.04999999999999999,0.10000000000000009,True,rear_length_m,L_r,0.0010370116666666665,0.00069165,0.0011039333333333335
A6-750-8-40000,6,model_construction,,,12,0.7,9,3,training points with t >= quasi_steady_start_s; fallback to all training points if fewer than three,0.2,0.2,0.7,6,False,False,0.04999999999999999,0.10000000000000009,True,full_width_m,W,0.00152654,0.0013,0.0015345133333333333
A6-750-8-40000,6,model_construction,,,12,0.7,9,3,training points with t >= quasi_steady_start_s; fallback to all training points if fewer than three,0.2,0.2,0.7,6,False,False,0.04999999999999999,0.10000000000000009,True,height_span_m,H,0.0013042366666666668,0.00077602,0.00131425
A6-750-8-40000,6,model_construction,,,12,0.7,9,3,training points with t >= quasi_steady_start_s; fallback to all training points if fewer than three,0.2,0.2,0.7,6,False,False,0.04999999999999999,0.10000000000000009,True,Tmax_K,Tmax,3044.2666666666664,3843.6,3030.8999999999996
A6-750-8-40000,6,model_construction,,,12,0.7,9,3,training points with t >= quasi_steady_start_s; fallback to all training points if fewer than three,0.2,0.2,0.7,6,False,False,0.04999999999999999,0.10000000000000009,True,Gmean_K_per_m,Gmean,1444915.477860716,2910736.966292135,1371354.0837934632
A6-750-8-40000,6,model_construction,,,12,0.7,9,3,training points with t >= quasi_steady_start_s; fallback to all training points if fewer than three,0.2,0.2,0.7,6,False,False,0.04999999999999999,0.10000000000000009,True,Umax_m_per_s,Umax,0.5275842531541483,0.47024608969985066,0.5335746121433578
A7-750-8-70000,7,model_construction,,,12,0.7,9,3,training points with t >= quasi_steady_start_s; fallback to all training points if fewer than three,0.2,0.2,0.7,6,False,False,0.04999999999999999,0.10000000000000009,True,front_length_m,L_f,0.0009583666666666666,0.0006505,0.001162933333333333
A7-750-8-70000,7,model_construction,,,12,0.7,9,3,training points with t >= quasi_steady_start_s; fallback to all training points if fewer than three,0.2,0.2,0.7,6,False,False,0.04999999999999999,0.10000000000000009,True,rear_length_m,L_r,0.0013067999999999997,0.00075752,0.001265566666666667
A7-750-8-70000,7,model_construction,,,12,0.7,9,3,training points with t >= quasi_steady_start_s; fallback to all training points if fewer than three,0.2,0.2,0.7,6,False,False,0.04999999999999999,0.10000000000000009,True,full_width_m,W,0.0017095699999999999,0.00136266,0.0017078733333333333
A7-750-8-70000,7,model_construction,,,12,0.7,9,3,training points with t >= quasi_steady_start_s; fallback to all training points if fewer than three,0.2,0.2,0.7,6,False,False,0.04999999999999999,0.10000000000000009,True,height_span_m,H,0.0014388483333333333,0.00101452,0.00140924
A7-750-8-70000,7,model_construction,,,12,0.7,9,3,training points with t >= quasi_steady_start_s; fallback to all training points if fewer than three,0.2,0.2,0.7,6,False,False,0.04999999999999999,0.10000000000000009,True,Tmax_K,Tmax,2819.6,4232.9,2623.6666666666665
A7-750-8-70000,7,model_construction,,,12,0.7,9,3,training points with t >= quasi_steady_start_s; fallback to all training points if fewer than three,0.2,0.2,0.7,6,False,False,0.04999999999999999,0.10000000000000009,True,Gmean_K_per_m,Gmean,1080813.617248557,2861593.9223300973,993245.6594846345
A7-750-8-70000,7,model_construction,,,12,0.7,9,3,training points with t >= quasi_steady_start_s; fallback to all training points if fewer than three,0.2,0.2,0.7,6,False,False,0.04999999999999999,0.10000000000000009,True,Umax_m_per_s,Umax,0.5813325311112016,0.6888825453449957,0.5208869537378747
A8-550-6-60000,8,model_construction,,,12,0.7,9,3,training points with t >= quasi_steady_start_s; fallback to all training points if fewer than three,0.2,0.2,0.7,6,False,False,0.04999999999999999,0.10000000000000009,True,front_length_m,L_f,0.00063355,0.0005914599999999999,0.0006143666666666662
A8-550-6-60000,8,model_construction,,,12,0.7,9,3,training points with t >= quasi_steady_start_s; fallback to all training points if fewer than three,0.2,0.2,0.7,6,False,False,0.04999999999999999,0.10000000000000009,True,rear_length_m,L_r,0.0009660183333333334,0.00075143,0.001040266666666667
A8-550-6-60000,8,model_construction,,,12,0.7,9,3,training points with t >= quasi_steady_start_s; fallback to all training points if fewer than three,0.2,0.2,0.7,6,False,False,0.04999999999999999,0.10000000000000009,True,full_width_m,W,0.0013797033333333333,0.00133882,0.0014088133333333332
A8-550-6-60000,8,model_construction,,,12,0.7,9,3,training points with t >= quasi_steady_start_s; fallback to all training points if fewer than three,0.2,0.2,0.7,6,False,False,0.04999999999999999,0.10000000000000009,True,height_span_m,H,0.0010673761666666667,0.00088541,0.0011852393333333332
A8-550-6-60000,8,model_construction,,,12,0.7,9,3,training points with t >= quasi_steady_start_s; fallback to all training points if fewer than three,0.2,0.2,0.7,6,False,False,0.04999999999999999,0.10000000000000009,True,Tmax_K,Tmax,2437.3333333333335,3386.9,2301.4666666666667
A8-550-6-60000,8,model_construction,,,12,0.7,9,3,training points with t >= quasi_steady_start_s; fallback to all training points if fewer than three,0.2,0.2,0.7,6,False,False,0.04999999999999999,0.10000000000000009,True,Gmean_K_per_m,Gmean,918569.6791058714,2608910.6532066506,937695.7892649468
A8-550-6-60000,8,model_construction,,,12,0.7,9,3,training points with t >= quasi_steady_start_s; fallback to all training points if fewer than three,0.2,0.2,0.7,6,False,False,0.04999999999999999,0.10000000000000009,True,Umax_m_per_s,Umax,0.5429223769217727,0.5378288153539191,0.6534757044483374
A9-550-10-60000,9,model_construction,,,12,0.7,9,3,training points with t >= quasi_steady_start_s; fallback to all training points if fewer than three,0.2,0.2,0.7,6,False,False,0.04999999999999999,0.10000000000000009,True,front_length_m,L_f,0.0008460666666666667,0.0005920000000000001,0.0004515666666666662
A9-550-10-60000,9,model_construction,,,12,0.7,9,3,training points with t >= quasi_steady_start_s; fallback to all training points if fewer than three,0.2,0.2,0.7,6,False,False,0.04999999999999999,0.10000000000000009,True,rear_length_m,L_r,0.00113455,0.00075,0.0012136000000000002
A9-550-10-60000,9,model_construction,,,12,0.7,9,3,training points with t >= quasi_steady_start_s; fallback to all training points if fewer than three,0.2,0.2,0.7,6,False,False,0.04999999999999999,0.10000000000000009,True,full_width_m,W,0.0014620200000000003,0.00135312,0.0013152466666666665
A9-550-10-60000,9,model_construction,,,12,0.7,9,3,training points with t >= quasi_steady_start_s; fallback to all training points if fewer than three,0.2,0.2,0.7,6,False,False,0.04999999999999999,0.10000000000000009,True,height_span_m,H,0.0010543516666666666,0.00079938,0.0008609266666666666
A9-550-10-60000,9,model_construction,,,12,0.7,9,3,training points with t >= quasi_steady_start_s; fallback to all training points if fewer than three,0.2,0.2,0.7,6,False,False,0.04999999999999999,0.10000000000000009,True,Tmax_K,Tmax,2831.35,4035.8,2452.6
A9-550-10-60000,9,model_construction,,,12,0.7,9,3,training points with t >= quasi_steady_start_s; fallback to all training points if fewer than three,0.2,0.2,0.7,6,False,False,0.04999999999999999,0.10000000000000009,True,Gmean_K_per_m,Gmean,1189072.6503896583,2734276.122931442,975072.9085160898
A9-550-10-60000,9,model_construction,,,12,0.7,9,3,training points with t >= quasi_steady_start_s; fallback to all training points if fewer than three,0.2,0.2,0.7,6,False,False,0.04999999999999999,0.10000000000000009,True,Umax_m_per_s,Umax,0.5588259379934694,1.4416157183174716,0.48422658986541256
A10-550-8-40000,10,model_construction,,,12,0.7,9,3,training points with t >= quasi_steady_start_s; fallback to all training points if fewer than three,0.2,0.2,0.7,6,False,False,0.04999999999999999,0.10000000000000009,True,front_length_m,L_f,0.0007981666666666666,0.0005831600000000001,0.0006886999999999996
A10-550-8-40000,10,model_construction,,,12,0.7,9,3,training points with t >= quasi_steady_start_s; fallback to all training points if fewer than three,0.2,0.2,0.7,6,False,False,0.04999999999999999,0.10000000000000009,True,rear_length_m,L_r,0.0009210950000000001,0.00065,0.000965866666666667
A10-550-8-40000,10,model_construction,,,12,0.7,9,3,training points with t >= quasi_steady_start_s; fallback to all training points if fewer than three,0.2,0.2,0.7,6,False,False,0.04999999999999999,0.10000000000000009,True,full_width_m,W,0.0013617166666666668,0.00113258,0.0014035666666666665
A10-550-8-40000,10,model_construction,,,12,0.7,9,3,training points with t >= quasi_steady_start_s; fallback to all training points if fewer than three,0.2,0.2,0.7,6,False,False,0.04999999999999999,0.10000000000000009,True,height_span_m,H,0.0009822233333333333,0.00069695,0.0009999066666666666
A10-550-8-40000,10,model_construction,,,12,0.7,9,3,training points with t >= quasi_steady_start_s; fallback to all training points if fewer than three,0.2,0.2,0.7,6,False,False,0.04999999999999999,0.10000000000000009,True,Tmax_K,Tmax,2676.9500000000003,3107.1,2574.5333333333333
A10-550-8-40000,10,model_construction,,,12,0.7,9,3,training points with t >= quasi_steady_start_s; fallback to all training points if fewer than three,0.2,0.2,0.7,6,False,False,0.04999999999999999,0.10000000000000009,True,Gmean_K_per_m,Gmean,1329127.6149038428,2358009.4701986755,1230612.1737559447
A10-550-8-40000,10,model_construction,,,12,0.7,9,3,training points with t >= quasi_steady_start_s; fallback to all training points if fewer than three,0.2,0.2,0.7,6,False,False,0.04999999999999999,0.10000000000000009,True,Umax_m_per_s,Umax,0.45981933640393285,0.38052116545732384,0.42000701628295106
A11-550-8-70000,11,model_construction,,,12,0.7,9,3,training points with t >= quasi_steady_start_s; fallback to all training points if fewer than three,0.2,0.2,0.7,6,False,False,0.04999999999999999,0.10000000000000009,True,front_length_m,L_f,0.0006561000000000001,0.00057701,0.0007830999999999992
A11-550-8-70000,11,model_construction,,,12,0.7,9,3,training points with t >= quasi_steady_start_s; fallback to all training points if fewer than three,0.2,0.2,0.7,6,False,False,0.04999999999999999,0.10000000000000009,True,rear_length_m,L_r,0.0012186066666666666,0.00079189,0.0011525333333333339
A11-550-8-70000,11,model_construction,,,12,0.7,9,3,training points with t >= quasi_steady_start_s; fallback to all training points if fewer than three,0.2,0.2,0.7,6,False,False,0.04999999999999999,0.10000000000000009,True,full_width_m,W,0.0015192900000000002,0.0011987,0.0014870266666666663
A11-550-8-70000,11,model_construction,,,12,0.7,9,3,training points with t >= quasi_steady_start_s; fallback to all training points if fewer than three,0.2,0.2,0.7,6,False,False,0.04999999999999999,0.10000000000000009,True,height_span_m,H,0.0011885285,0.00090057,0.0011997033333333333
A11-550-8-70000,11,model_construction,,,12,0.7,9,3,training points with t >= quasi_steady_start_s; fallback to all training points if fewer than three,0.2,0.2,0.7,6,False,False,0.04999999999999999,0.10000000000000009,True,Tmax_K,Tmax,2500.2833333333333,3499.9,2531.1
A11-550-8-70000,11,model_construction,,,12,0.7,9,3,training points with t >= quasi_steady_start_s; fallback to all training points if fewer than three,0.2,0.2,0.7,6,False,False,0.04999999999999999,0.10000000000000009,True,Gmean_K_per_m,Gmean,938957.7217720682,2650313.682611997,928525.1516199764
A11-550-8-70000,11,model_construction,,,12,0.7,9,3,training points with t >= quasi_steady_start_s; fallback to all training points if fewer than three,0.2,0.2,0.7,6,False,False,0.04999999999999999,0.10000000000000009,True,Umax_m_per_s,Umax,0.6124598455646711,0.46543648335514054,1.1143780593820893
A12-950-6-60000,12,model_construction,,,12,0.7,9,3,training points with t >= quasi_steady_start_s; fallback to all training points if fewer than three,0.2,0.2,0.7,6,False,False,0.04999999999999999,0.10000000000000009,True,front_length_m,L_f,0.0009704833333333333,0.00015016999999999998,0.0009354999999999994
A12-950-6-60000,12,model_construction,,,12,0.7,9,3,training points with t >= quasi_steady_start_s; fallback to all training points if fewer than three,0.2,0.2,0.7,6,False,False,0.04999999999999999,0.10000000000000009,True,rear_length_m,L_r,0.0011492849999999999,0.00047479,0.0012762000000000003
A12-950-6-60000,12,model_construction,,,12,0.7,9,3,training points with t >= quasi_steady_start_s; fallback to all training points if fewer than three,0.2,0.2,0.7,6,False,False,0.04999999999999999,0.10000000000000009,True,full_width_m,W,0.0017076266666666668,0.00074998,0.0017476599999999998
A12-950-6-60000,12,model_construction,,,12,0.7,9,3,training points with t >= quasi_steady_start_s; fallback to all training points if fewer than three,0.2,0.2,0.7,6,False,False,0.04999999999999999,0.10000000000000009,True,height_span_m,H,0.0015842800000000002,0.00010072363,0.0017598566666666667
A12-950-6-60000,12,model_construction,,,12,0.7,9,3,training points with t >= quasi_steady_start_s; fallback to all training points if fewer than three,0.2,0.2,0.7,6,False,False,0.04999999999999999,0.10000000000000009,True,Tmax_K,Tmax,3113.6666666666665,2106.1,3096.633333333333
A12-950-6-60000,12,model_construction,,,12,0.7,9,3,training points with t >= quasi_steady_start_s; fallback to all training points if fewer than three,0.2,0.2,0.7,6,False,False,0.04999999999999999,0.10000000000000009,True,Gmean_K_per_m,Gmean,1257861.174681369,5351820.845410627,1178087.0735230504
A12-950-6-60000,12,model_construction,,,12,0.7,9,3,training points with t >= quasi_steady_start_s; fallback to all training points if fewer than three,0.2,0.2,0.7,6,False,False,0.04999999999999999,0.10000000000000009,True,Umax_m_per_s,Umax,0.6450549082046118,0.11349342413549782,0.5185564025348918
A13-950-10-60000,13,model_construction,,,12,0.7,9,3,training points with t >= quasi_steady_start_s; fallback to all training points if fewer than three,0.2,0.2,0.7,6,False,False,0.04999999999999999,0.10000000000000009,True,front_length_m,L_f,0.0009210333333333334,0.00045,0.0004830333333333328
A13-950-10-60000,13,model_construction,,,12,0.7,9,3,training points with t >= quasi_steady_start_s; fallback to all training points if fewer than three,0.2,0.2,0.7,6,False,False,0.04999999999999999,0.10000000000000009,True,rear_length_m,L_r,0.00140335,0.000592541,0.0015397333333333338
A13-950-10-60000,13,model_construction,,,12,0.7,9,3,training points with t >= quasi_steady_start_s; fallback to all training points if fewer than three,0.2,0.2,0.7,6,False,False,0.04999999999999999,0.10000000000000009,True,full_width_m,W,0.0015761833333333333,0.00098128,0.0015666666666666665
A13-950-10-60000,13,model_construction,,,12,0.7,9,3,training points with t >= quasi_steady_start_s; fallback to all training points if fewer than three,0.2,0.2,0.7,6,False,False,0.04999999999999999,0.10000000000000009,True,height_span_m,H,0.0016199500000000002,0.000476907,0.0014202933333333334
A13-950-10-60000,13,model_construction,,,12,0.7,9,3,training points with t >= quasi_steady_start_s; fallback to all training points if fewer than three,0.2,0.2,0.7,6,False,False,0.04999999999999999,0.10000000000000009,True,Tmax_K,Tmax,3388.0833333333335,4882.3,2890.2000000000003
