case_id,time_s,xi_m_min,xi_m_max,y_m_min,y_m_max,z_m_min,z_m_max,Temperature_mean,Temperature_max,Temperature Gradient At Tgrdout_mean,Temperature Gradient At Tgrdout_max,Velocity_Magnitude_mean,Velocity_Magnitude_max,Pressure_mean,Pressure_max,Heat Absorption Rate_mean,Heat Absorption Rate_max,Melt Region_mean,Melt Region_min,case_index,power_W,scan_speed_mm_s,scan_speed_m_s,particle_rate,powder_feed_g_min,unique_points
A3-950-8-60000,0.1,-0.0008500000000000001,0.0006904,1.6689e-10,0.00075224,-0.0008089,0.00015537,2056.4700184501844,5477.5,3134217.988929889,27494000.0,0.11108380006980069,0.8740667469272585,102312.45387453874,118850.0,32756216.974169742,164490000.0,0.7719547601476014,0.06849,3,950.0,8.0,0.008,60000.0,12.0,542
A3-950-8-60000,0.15,-0.00098508,0.00075,8.9407e-12,0.00078175,-0.0011,0.0003117,1932.46550295858,3699.4,1788244.0532544379,18953000.0,0.10341106358075908,0.47829824578629804,102626.76331360947,104380.0,16290876.213017752,201050000.0,0.8158498094674557,0.088534,3,950.0,8.0,0.008,60000.0,12.0,845
A3-950-8-60000,0.2,-0.00100383,0.0009728999999999998,2.3842e-11,0.00086005,-0.0010003,0.00032432,1930.6216286307053,3046.4,1725742.8060165974,14592000.0,0.10776807969747149,0.44546000716225914,102591.97614107883,104540.0,16558906.74273859,171650000.0,0.8489736514522822,0.07873,3,950.0,8.0,0.008,60000.0,12.0,964
A3-950-8-60000,0.3,-0.0011499999999999998,0.0011500000000000004,9.2387e-11,0.00085,-0.001175,0.00050989,1923.353029045643,3702.6,1503280.3443983402,9623600.0,0.10634661725507931,0.6124993768160095,102766.67634854771,109070.0,15838515.817427386,199800000.0,0.8672816572614108,0.063177,3,950.0,8.0,0.008,60000.0,12.0,1205
A3-950-8-60000,0.4,-0.0012150000000000004,0.0011956999999999996,4.4704e-11,0.00080548,-0.0011,0.00060426,1903.0573624595468,3484.6,1385809.3203883495,13820000.0,0.11562494943156443,0.6872223415052803,102903.321197411,106670.0,14965294.377022654,181350000.0,0.8814477103559871,0.07075,3,950.0,8.0,0.008,60000.0,12.0,1236
A3-950-8-60000,0.5,-0.0012942000000000001,0.0009094999999999997,1.7285e-10,0.00085,-0.001,0.00077032,1887.7956910569108,3396.1,1220497.9390243902,7923700.0,0.11682732392136728,1.0130047051223405,103683.07398373984,107100.0,16363997.56097561,196060000.0,0.9014907552845528,0.064786,3,950.0,8.0,0.008,60000.0,12.0,1230
A3-950-8-60000,0.6,-0.0013499999999999996,0.0010561000000000008,1.4901e-10,0.00081965,-0.00089999,0.00076965,1900.5904893449092,3073.3,1269620.4869771113,5955900.0,0.11794609532198241,0.5786510124418689,103372.91239147593,112010.0,15642181.527229676,170140000.0,0.900655138910813,0.065188,3,950.0,8.0,0.008,60000.0,12.0,1267
A3-950-8-60000,0.7,-0.0013788999999999997,0.0010628,2.3842e-11,0.00086538,-0.00079625,0.0008004,1889.7210268948656,3211.6,1247249.2265688672,8317700.0,0.12236388492776103,0.5973090364958579,103207.63243683781,106330.0,16097584.197229015,183100000.0,0.911324348410758,0.077317,3,950.0,8.0,0.008,60000.0,12.0,1227
A3-950-8-60000,0.8,-0.001451,0.000915,4.679e-10,0.00085495,-0.0008,0.0008835,1864.5300643086816,2855.8,1088292.3400321542,7019000.0,0.11503903900970919,0.653091674802244,103548.70096463023,107380.0,18383236.422829583,206780000.0,0.9055145253215433,0.1041445,3,950.0,8.0,0.008,60000.0,12.0,1244
A3-950-8-60000,0.9,-0.0014500000000000008,0.0010726999999999985,1.0312e-09,0.00086595,-0.0008,0.00085392,1889.6293760129658,3400.4,1229369.0153970825,7991400.0,0.11543619826162231,0.5098099974877013,103295.81118314425,105990.0,16150219.959481362,218000000.0,0.9008030072933549,0.074124,3,950.0,8.0,0.008,60000.0,12.0,1234
A3-950-8-60000,1.0,-0.0013947000000000005,0.0009694000000000005,3.5763e-11,0.0008553,-0.0008,0.00081651,1894.1314814814814,3303.6,1277654.0534979424,7987600.0,0.11344115291765625,0.674857623354734,103375.04938271605,110790.0,17547607.489711933,250140000.0,0.8973522049382716,0.064323,3,950.0,8.0,0.008,60000.0,12.0,1215
A4-750-6-60000,0.05,-0.00075,0.00057683,1.7881e-11,0.000675,-0.00075,0.00026928,2059.246934460888,4039.2,2915686.7864693445,13390000.0,0.10960820848919058,0.5830188234525537,102833.68921775899,115610.0,23446765.75052854,164340000.0,0.7555225665961944,0.09738649999999999,4,750.0,6.0,0.006,60000.0,12.0,473
A4-750-6-60000,0.1,-0.0008711700000000001,0.0008682,2.9802e-12,0.00076183,-0.00088216,0.00041328,1979.6508643617021,4373.1,2260081.1901595746,14891000.0,0.11345958530137659,0.4926498188663018,103274.97207446808,107630.0,19196950.39893617,161620000.0,0.8434332819148936,0.06702,4,750.0,6.0,0.006,60000.0,12.0,752
A4-750-6-60000,0.15,-0.000952314,0.0009500000000000001,4.4704e-11,0.00078087,-0.0009,0.00050411,1925.7504961411246,3376.0,1621411.4829106946,8142900.0,0.10472647160876292,0.40621867421500946,103481.90187431092,105970.0,12607427.883131202,149650000.0,0.8712476879823594,0.073783,4,750.0,6.0,0.006,60000.0,12.0,907
